jahr_bescheinigung;betreiber;betreibernummer;datum_anzeige_bnetza;strasse;hausnummer;plz;ort;quelle_pdf_seite
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;06.02.2025;Anton-Huber-Straße;51;73430;Aalen;2
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;24.02.2026;Baetznerstraße;90;75323;Bad Wildbad;2
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Gutenbergstraße;17;76532;Baden-Baden;2
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Kaiserallee;1;76530;Baden-Baden;2
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;24.02.2026;Kernerstraße;39;75323;Bad Wildbad;2
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Schloß;4;97980;Bad Mergentheim;2
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;06.02.2025;Flandernstrasse;101a;73732;Esslingen;3
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;19.10.2022;Friedrich-Ebert-Anlage;51C;69117;Heidelberg;3
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;24.02.2026;Humboldtstrasse;3;79098;Freiburg;3
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;06.02.2025;Ritterstr.;20;76133;Karlsruhe;3
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;18.10.2022;Sandgasse;16;69117;Heidelberg;3
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;11.02.2025;Stefan-Meier-Straße;19/21;79104;Freiburg;3
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;11.02.2025;Thibautstraße;1a;69115;Heidelberg;3
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;19.10.2022;Baumeisterstraße;9;76137;Karlsruhe;4
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;19.10.2022;Bismarckstraße;10;68161;Mannheim;4
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Bissierstraße;1;79114;Freiburg im Breisgau;4
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Breisacher Str;;79106;;4
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Katharinenstrasse;;79104;Freiburg;4
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;19.10.2022;Luisenstraße;10;79539;Lörrach;4
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;23.07.2024;Zirkel;2;76131;Karlsruhe;4
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;25.02.2026;Alteburgstraße;150;72762;Reutlingen;5
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;06.02.2025;Huberstrasse;2;70174;Stuttgart;5
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;06.02.2025;Kernerplatz;9 + 10;70182;Stuttgart;5
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;19.10.2022;Leonhardpl.;1;72764;Reutlingen;5
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;24.02.2026;Oskar-Schlemmer-Straße;8A;70191;Stuttgart;5
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;19.10.2022;Schwarzwaldhochstraße;2;77889;Seebach;5
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;19.10.2022;Schwarzwaldhochstraße;2;77889;Seebach;5
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;25.02.2026;Brunnenstraße;29;72074;Tübingen;6
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;18.10.2022;Hauffstraße;5;70190;Stuttgart;6
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;25.02.2026;Helmholtzstraße;5;89081;Ulm;6
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;25.02.2026;Klosterhof;14/2;74214;Schöntal;6
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;19.10.2022;Otto-Sander-Strasse;1;70599;Stuttgart;6
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;22.07.2024;Schellingstr.;25B;70174;Stuttgart;6
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Schlossplatz;12;76131;Karlsruhe;6
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Konrad-Adenauer-Strasse;16;70173;Stuttgart;7
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Konrad-Adenauer-Strasse;3;70173;Stuttgart;7
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Konrad-Adenauer-Strasse;32;70173;Stuttgart;7
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Konrad-Adenauer-Straße;10;70173;Stuttgart;7
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Kriegsbergstraße;32;70174;Stuttgart;7
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Seidenstraße;23;70176;Stuttgart;7
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Universitätsstraße;10;78464;Konstanz;7
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Albert-Einstein-Allee;5;89081;Ulm;8
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Mühlbachäckerstraße;5;72072;Tübingen;8
2025;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Schnarrenbergstraße;158;72076;Tübingen;8
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Am Fichtenberg;1;71083;Herrenberg;8
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Engelbergstraße;41;79106;Freiburg;8
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Fritz-Haber-Weg;;76131;Karlsruhe;8
2024;Parkraumgesellschaft Baden-Württemberg mbH - PBW;BNA000903;05.08.2024;Musbacher Straße;33;72250;Freudenstadt;8
