thg_row;jahr;adresse_uba;ladeeinrichtungs_id;adresse_lsr;manual_note
1;2025;Anton-Huber-Straße 51, 73430 Aalen;1118094;Anton-Huber-Str. 5, 73430 Aalen;"Hausnummer 51 vs. LSR 5; sonst Straße/PLZ/Ort eindeutig PBW"
6;2025;Baetznerstraße 90, 75323 Bad Wildbad;1150058;Bätznerstr. 90, 75323 Bad Wildbad;Schreibweise Baetzner/Bätzner
6;2025;Baetznerstraße 90, 75323 Bad Wildbad;1150059;Bätznerstr. 90, 75323 Bad Wildbad;Schreibweise Baetzner/Bätzner
7;2025;Flandernstrasse 101a, 73732 Esslingen;1118100;Flandernstr. 101 A, 73732 Esslingen am Neckar;Schreibweise/Leerzeichen 101a/101 A
8;2025;Humboldtstrasse 3, 79098 Freiburg;1150061;Humboldtstr. 3, 79098 Freiburg im Breisgau;Schreibweise Strasse/Str.
10;2025;Friedrich-Ebert-Anlage 51C, 69117 Heidelberg;1046849;Friedrich-Ebert-Straße 51 C, 69117 Heidelberg;Anlage vs. Straße, Hausnummer identisch 51 C
10;2025;Friedrich-Ebert-Anlage 51C, 69117 Heidelberg;1046850;Friedrich-Ebert-Straße 51 C, 69117 Heidelberg;Anlage vs. Straße, Hausnummer identisch 51 C
13;2025;Ritterstr. 20, 76133 Karlsruhe;1118105;Ritterstr. 20, 76137 Karlsruhe;"PLZ 76133 vs. 76137; Straße/Hausnummer/Ort identisch"
15;2025;Zirkel 2, 76131 Karlsruhe;1062438;Zirkel 0, 76131 Karlsruhe;"Hausnummer 2 vs. LSR 0; historischer LSR-Treffer Zirkel"
16;2025;Breisacher Str., 79106 Freiburg;1061553;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1061555;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1061560;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1061562;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1061563;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1152630;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1152631;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1152632;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1152633;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1152634;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1152635;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
16;2025;Breisacher Str., 79106 Freiburg;1152636;Breisacher Str. 0/113 B, 79106 Freiburg im Breisgau;"UBA ohne Hausnummer; alle PBW-LSR-Treffer auf gleicher Straße/PLZ"
19;2025;Bismarckstraße 10, 68161 Mannheim;1046862;Bismarckstr.aße 12, 68161 Mannheim;Hausnummer 10 vs. 12 und LSR-Schreibfehler str.aße
20;2025;Katharinenstrasse, 79104 Freiburg;1062400;Katharinenstr. 0, 79104 Freiburg im Breisgau;"UBA ohne Hausnummer; einziger PBW-LSR-Treffer auf Straße/PLZ"
27;2025;Oskar-Schlemmer-Straße 8A, 70191 Stuttgart;1150067;Oskar-Schlemmer-Str. 8 A, 70191 Stuttgart;Schreibweise 8A/8 A
30;2025;Otto-Sander-Strasse 1, 70599 Stuttgart;1046858;Otto-Sander-Straße 0, 70599 Stuttgart;"Hausnummer 1 vs. LSR 0; Straße/PLZ eindeutig"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1061574;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1061575;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1061576;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
34;2025;Schlossplatz 12, 76131 Karlsruhe;1061577;Schlossplatz 16 / Schloßplatz 0, 76131 Karlsruhe;"Hausnummer 12 vs. LSR 16/0; gleicher Platz/PLZ"
