thg_row;jahr;adresse_uba;ladeeinrichtungs_id;adresse_lsr;lsr_status;lsr_ladepunkte;score
3;2025;Gutenbergstraße 17, 76532 Baden-Baden;1061496;Gutenbergstr. 17, 76532 Baden-Baden;In Betrieb;2;0.92
5;2025;Kernerstraße 39, 75323 Bad Wildbad;1150052;Kernerstr. 39, 75323 Bad Wildbad;In Betrieb;2;0.92
5;2025;Kernerstraße 39, 75323 Bad Wildbad;1150053;Kernerstr. 39, 75323 Bad Wildbad;In Betrieb;2;0.92
5;2025;Kernerstraße 39, 75323 Bad Wildbad;1150054;Kernerstr. 39, 75323 Bad Wildbad;In Betrieb;2;0.92
5;2025;Kernerstraße 39, 75323 Bad Wildbad;1150055;Kernerstr. 39, 75323 Bad Wildbad;In Betrieb;2;0.92
5;2025;Kernerstraße 39, 75323 Bad Wildbad;1150056;Kernerstr. 39, 75323 Bad Wildbad;In Betrieb;2;0.92
11;2025;Sandgasse 16, 69117 Heidelberg;1046848;Sandgasse 16, 69117 Heidelberg;In Betrieb;2;1.0
12;2025;Stefan-Meier-Straße 19/21, 79104 Freiburg;1118318;Stefan-Meier-Str. 19-21, 79104 Freiburg im Breisgau;In Betrieb;2;1.0
12;2025;Stefan-Meier-Straße 19/21, 79104 Freiburg;1152639;Stefan-Meier-Str. 19-21, 79104 Freiburg im Breisgau;In Betrieb;2;1.0
13;2025;Thibautstraße 1a, 69115 Heidelberg;1118319;Thibautstr. 1a, 69115 Heidelberg;In Betrieb;2;0.92
14;2025;Baumeisterstraße 9, 76137 Karlsruhe;1046841;Baumeisterstraße 9, 76137 Karlsruhe;In Betrieb;2;1.0
16;2025;Bissierstraße 1, 79114 Freiburg im Breisgau;1062397;Bissierstr. 1, 79114 Freiburg im Breisgau;In Betrieb;2;0.92
19;2025;Luisenstraße 10, 79539 Lörrach;1046838;Luisenstraße 10, 79539 Lörrach;In Betrieb;2;1.0
21;2025;Alteburgstraße 150, 72762 Reutlingen;1046852;Alteburgstraße 150, 72762 Reutlingen;In Betrieb;4;1.0
21;2025;Alteburgstraße 150, 72762 Reutlingen;1046853;Alteburgstraße 150, 72762 Reutlingen;In Betrieb;4;1.0
22;2025;Huberstrasse 2, 70174 Stuttgart;1118114;Huberstr. 2, 70174 Stuttgart;In Betrieb;2;0.92
22;2025;Huberstrasse 2, 70174 Stuttgart;1118115;Huberstr. 2, 70174 Stuttgart;In Betrieb;2;0.92
23;2025;Kernerplatz 9 + 10, 70182 Stuttgart;1150064;Kernerplatz 9 - 10, 70182 Stuttgart;In Betrieb;2;1.0
24;2025;Leonhardpl. 1, 72764 Reutlingen;1046839;Leonhardplatz 1, 72764 Reutlingen;In Betrieb;2;0.92
26;2025;Schwarzwaldhochstraße 2, 77889 Seebach;1046854;Schwarzwaldhochstraße 2, 77889 Seebach (Ruhestein);In Betrieb;4;1.0
26;2025;Schwarzwaldhochstraße 2, 77889 Seebach;1046855;Schwarzwaldhochstraße 2, 77889 Seebach (Ruhestein);In Betrieb;4;1.0
26;2025;Schwarzwaldhochstraße 2, 77889 Seebach;1046856;Schwarzwaldhochstraße 2, 77889 Seebach (Ruhestein);In Betrieb;2;1.0
27;2025;Schwarzwaldhochstraße 2, 77889 Seebach;1046854;Schwarzwaldhochstraße 2, 77889 Seebach (Ruhestein);In Betrieb;4;1.0
27;2025;Schwarzwaldhochstraße 2, 77889 Seebach;1046855;Schwarzwaldhochstraße 2, 77889 Seebach (Ruhestein);In Betrieb;4;1.0
27;2025;Schwarzwaldhochstraße 2, 77889 Seebach;1046856;Schwarzwaldhochstraße 2, 77889 Seebach (Ruhestein);In Betrieb;2;1.0
28;2025;Brunnenstraße 29, 72074 Tübingen;1150176;Brunnenstr. 29, 72074 Tübingen;In Betrieb;2;0.92
28;2025;Brunnenstraße 29, 72074 Tübingen;1150177;Brunnenstr. 29, 72074 Tübingen;In Betrieb;2;0.92
28;2025;Brunnenstraße 29, 72074 Tübingen;1150178;Brunnenstr. 29, 72074 Tübingen;In Betrieb;2;0.92
28;2025;Brunnenstraße 29, 72074 Tübingen;1150179;Brunnenstr. 29, 72074 Tübingen;In Betrieb;2;0.92
28;2025;Brunnenstraße 29, 72074 Tübingen;1150180;Brunnenstr. 29, 72074 Tübingen;In Betrieb;2;0.92
29;2025;Hauffstraße 5, 70190 Stuttgart;1046837;Hauffstraße 5, 70190 Stuttgart;In Betrieb;2;1.0
30;2025;Helmholtzstraße 5, 89081 Ulm;1150184;Helmholtzstr. 5, 89081 Ulm;In Betrieb;1;0.92
30;2025;Helmholtzstraße 5, 89081 Ulm;1150186;Helmholtzstr. 5, 89081 Ulm;In Betrieb;1;0.92
30;2025;Helmholtzstraße 5, 89081 Ulm;1150182;Helmholtzstr. 5, 89081 Ulm;In Betrieb;2;0.92
31;2025;Klosterhof 14/2, 74214 Schöntal;1150191;Klosterhof 14/2, 74214 Schöntal;In Betrieb;2;1.0
33;2025;Schellingstr. 25B, 70174 Stuttgart;1062255;Schellingstr. 25b, 70174 Stuttgart;In Betrieb;2;1.0
33;2025;Schellingstr. 25B, 70174 Stuttgart;1062256;Schellingstr. 25b, 70174 Stuttgart;In Betrieb;2;1.0
33;2025;Schellingstr. 25B, 70174 Stuttgart;1062257;Schellingstr. 25b, 70174 Stuttgart;In Betrieb;2;1.0
33;2025;Schellingstr. 25B, 70174 Stuttgart;1062259;Schellingstr. 25b, 70174 Stuttgart;In Betrieb;2;1.0
33;2025;Schellingstr. 25B, 70174 Stuttgart;1062261;Schellingstr. 25b, 70174 Stuttgart;In Betrieb;2;1.0
33;2025;Schellingstr. 25B, 70174 Stuttgart;1062262;Schellingstr. 25b, 70174 Stuttgart;In Betrieb;2;1.0
33;2025;Schellingstr. 25B, 70174 Stuttgart;1062263;Schellingstr. 25b, 70174 Stuttgart;In Betrieb;2;1.0
33;2025;Schellingstr. 25B, 70174 Stuttgart;1062264;Schellingstr. 25b, 70174 Stuttgart;In Betrieb;2;1.0
